Codepoint,Hanzi,pinyin,Traditional Variant,Simplified Variant,Definition
U+5FA1,御,yù,"御,禦",御,"drive, ride; chariot; manage"
U+5FA9,復,fù,復,"复,復",return; repeat; repeatedly; hexagram ䷗
U+5FAA,循,xún,,,"obey, comply with, follow"
U+5FAE,微,wēi,,,"small, prefix micro-, trifling"
U+5FB5,徵,zhǐ zhēng,徵,"征,徵","summon, recruit; musical note"
U+5FB7,德,dé,,,"ethics, morality, virtue"
U+5FB9,徹,chè,,彻,"penetrate, pervade; penetrating"
U+5FBD,徽,huī,,,"a badge, insignia"
U+5FC3,心,xīn,,,"heart; mind, intelligence; soul; 5th lunar mansion, determinative star α Scorpii (Antares)"
U+5FC4,忄,xīn,,,heart; radical number 61
U+5FC5,必,bì,,,"surely, most certainly; must"
U+5FC6,忆,yì,憶,,"remember, reflect upon; memory"
U+5FCC,忌,jì,,,"jealous, envious; fear"
U+5FCD,忍,rěn,,,"endure, bear, suffer; forbear"
U+5FCF,忏,chàn,懺,,"regret, repent; confess sins"
U+5FD0,忐,tǎn,,,timorous; nervous
U+5FD1,忑,tè,,,fearful; nervous; timid
U+5FD2,忒,tè,,,excessive; too; very-usually of objectionable things; to err; to mistake; changeable
U+5FD7,志,zhì,"志,誌",志,"purpose, will, determination; annals"
U+5FD8,忘,wàng,,,"forget; neglect; miss, omit"
U+5FD9,忙,máng,,,"busy, pressed for time; hustling"
U+5FE0,忠,zhōng,,,"loyalty, devotion, fidelity"
U+5FE1,忡,chōng,,,"a sad, uneasy countenance"
U+5FE4,忤,wǔ,,,"insubordinate, stubborn; wrong"
U+5FE7,忧,yōu,憂,,"sad, grieved; grief, melancholy"
U+5FEB,快,kuài,,,"rapid, quick, speedy, fast; soon"
U+5FF1,忱,chén,,,"truth, sincerity; sincere"
U+5FF5,念,niàn,,,"think of, recall, study"
U+5FFB,忻,xīn,,,"delightful, joyful, pleasant"
U+5FFD,忽,hū,,,"suddenly, abruptly; neglect"
U+5FFE,忾,kài,愾,,"anger, wrath, hatred, enmity"
U+5FFF,忿,fèn,,,"get angry; fury, exasperation"
U+6000,怀,huái,"怀,懷",怀,"bosom, breast; carry in bosom"
U+6001,态,tài,態,,"manner, bearing, attitude"
U+6002,怂,sǒng,慫,,"instigate, arouse, incite"
U+6006,怆,chuàng,愴,,"sad, broken-hearted, disconsolate"
U+600E,怎,zěn,,,what? why? how?
U+6012,怒,nù,,,"anger, rage, passion; angry"
U+6015,怕,pà,,,"to fear, be afraid of; apprehensive"
U+6016,怖,bù,,,"terror, fear; frighten; terrified"
U+601C,怜,lián,"怜,憐",怜,"pity, sympathize"
U+601D,思,sī,,,"think, consider, ponder; final particle"
U+6020,怠,dài,,,"idle, remiss, negligent; neglect"
U+6021,怡,yí,,,"harmony; pleasure, joy; be glad"
U+6025,急,jí,,,"quick, quickly; urgent, pressing"
U+6026,怦,pēng,,,"eager, ardent, impulsive; anxious"
U+6027,性,xìng,,,"nature, character, sex"
U+6028,怨,yuàn,,,"hatred, enmity, resentment"
U+602A,怪,guài,,,"strange, unusual, peculiar"
U+602F,怯,qiè,,,"lacking in courage, afraid"
U+603B,总,zǒng,總,,"collect; overall, altogether"
U+603C,怼,duì,懟,,"hate, abhor; hatred, resentment"
U+6043,恃,shì,,,"rely on, presume on, trust to"
U+6046,恆,héng,,恒,"constant, regular, persistent; hexagram ䷟"
U+604B,恋,liàn,"恋,戀",恋,"love; long for, yearn for; love"
U+604D,恍,huǎng,,,seemingly; absent-minded
U+6050,恐,kǒng,,,"fear; fearful, apprehensive"
U+6052,恒,héng,"恆,恒",恒,"constant, regular, persistent"
U+6055,恕,shù,,,"forgive, excuse, show mercy"
U+6059,恙,yàng,,,"illness, sickness; indisposition"
U+6062,恢,huī,,,"restore; big, great, immense, vast"
U+6063,恣,zì,,,"indulge oneself, unrestrained"
U+6064,恤,xù,,,"show pity; relieve, help"
U+6065,恥,chǐ,,耻,"shame, humiliation; ashamed"
U+6068,恨,hèn,,,"hatred, dislike; resent, hate"
U+6069,恩,ēn,,,"kindness, mercy, charity"
U+606A,恪,kè,,,"respectful, reverent"
U+606B,恫,dòng,,,"in pain, sorrowful"
U+606C,恬,tián,,,"quiet, calm, tranquil, peaceful"
U+606D,恭,gōng,,,"respectful, polite, reverent"
U+606F,息,xī,,,"rest, put stop to, end, cease"
U+6070,恰,qià,,,"just, exactly, precisely; proper"
U+6073,恳,kěn,懇,,"sincere, earnest, cordial"
U+6075,恵,huì,,,"favor, benefit, confer kindness"
U+6076,恶,è,"噁,惡",,"evil, wicked, bad, foul"
U+6078,恸,tòng,慟,,"sadness, grief; mourn; be moved"
U+6079,恹,yān,懨,,"feeble, sickly; tranquil, calm"
U+607A,恺,kǎi,愷,,"enjoy, be contented, joyful"
U+607C,恼,nǎo,"恼,惱",恼,"angered, filled with hate"
U+607F,恿,yǒng,,,"instigate, incite; to alarm"
U+6084,悄,qiāo,,,"silent, quiet, still; anxious"
U+6085,悅,yuè,,悦,pleased
U+6089,悉,xī,,,"know, learn about, comprehend"
U+608D,悍,hàn,,,"courageous, brave; violent"
U+6094,悔,huǐ,,,"repent, show remorse, regret"
U+6096,悖,bèi,,,"be contradictory to, go counter"
U+609A,悚,sǒng,,,"afraid, scared, frightened"
U+609F,悟,wù,,,"to apprehend, realize, become aware"
U+60A0,悠,yōu,,,"long, far, remote, distant; leisurely"
U+60A3,患,huàn,,,"suffer, worry about; suffering"
U+60A6,悦,yuè,悅,,"pleased, contented, gratified"
U+60A8,您,nín,,,honorific for 'you'
U+60AC,悬,xuán,懸,,"hang, suspend, hoist; be hung"
U+60AD,悭,qiān,慳,,"miserly, parsimonious, stingy"
U+60AF,悯,mǐn,憫,,"pity, sympathize with, grieve for"
U+60B2,悲,bēi,,,"sorrow, grief; sorry, sad"
U+60B3,悳,dé,,,"ethics, morality, virtue"
U+60B4,悴,cuì,,,"suffer, become emaciated, haggard"
U+60B6,悶,mèn,,闷,"gloomy, depressed, melancholy"
U+60B8,悸,jì,,,"fearful, apprehensive, perturbed"
U+60BC,悼,dào,,,"grieve, mourn, lament; grieved"
U+60BD,悽,qī,,,"sorrowful, grieved, melancholy"
U+60C5,情,qíng,,,"feeling, sentiment, emotion"
U+60C7,惇,dūn,,,"be kind, cordial, sincere"
U+60CA,惊,jīng,驚,,"frighten, surprise, startle"
U+60CB,惋,wǎn,,,"regret, be sorry; alarmed"
U+60D1,惑,huò,,,"confuse, mislead, baffle; doubt"
U+60D5,惕,tì,,,"be cautious, careful, alert"
U+60D8,惘,wǎng,,,"disconcerted, dejected, discouraged"
U+60DA,惚,hū,,,"absent-minded, confused"
U+60DC,惜,xī,,,"pity, regret, rue, begrudge"
U+60DF,惟,wéi,,,"but, however, nevertheless; only"
U+60E0,惠,huì,,,"favor, benefit, confer kindness"
U+60E1,惡,è,,恶,"evil, wicked, bad, foul"
U+60E6,惦,diàn,,,"think of, remember, miss"
U+60E7,惧,jù,"惧,懼",惧,"fear, be afraid of, dread"
U+60E8,惨,cǎn,慘,,"sad, pitiful, wretched; cruel"
U+60E9,惩,chéng,"惩,懲",惩,"punish, reprimand; warn"
U+60EB,惫,bèi,憊,,"tired, weary, fatigued"
U+60EC,惬,qiè,愜,,"be satisfied, be comfortable"
U+60EE,惮,dàn,憚,,"dread, shrink from, shirk, fear"
U+60EF,惯,guàn,慣,,"habit, custom; habitually, usual"
U+60F0,惰,duò,,,"indolent, careless, lazy, idle"
U+60F1,惱,nǎo,,恼,"angered, filled with hate"
U+60F3,想,xiǎng,,,"think, speculate, plan, consider"
U+60F4,惴,zhuì,,,"afraid, apprehensive, nervous"
U+60F6,惶,huáng,,,"fearful, afraid, anxious, nervous"
U+60F9,惹,rě,,,"irritate, vex, offend, incite"
U+60FA,惺,xīng,,,"intelligent, clever, astute"
U+6101,愁,chóu,,,"anxiety; to worry about, be anxious"
U+6108,愈,yù,,,"more and more, even more"
U+6109,愉,yú,,,"pleasant, delightful; please"
U+610F,意,yì,,,"thought, idea, opinion; think"
U+6115,愕,è,,,"startled, alarmed, astonished"
U+611A,愚,yú,,,"stupid, doltish, foolish"
U+611B,愛,ài,,爱,"love, be fond of, like"
U+611C,愜,qiè,,惬,"be satisfied, be comfortable"
U+611F,感,gǎn,,,"feel, perceive, emotion"
U+6123,愣,lèng,,,be in a daze
U+6124,愤,fèn,憤,,"resent, hate; indignant"
U+6127,愧,kuì,,,"ashamed, conscience-stricken"
U+612B,愫,sù,,,"guileless, sincere, honest"
U+6134,愴,chuàng,,怆,"sad, broken-hearted, disconsolate"
U+6137,愷,kǎi,,恺,"enjoy, be contented, joyful"
U+613E,愾,kài,,忾,"anger, wrath, hatred, enmity"
U+613F,愿,yuàn,"愿,願",愿,"sincere, honest, virtuous"
U+6148,慈,cí,,,"kind, charitable, benevolent"
U+614B,態,tài,,态,"manner, bearing, attitude"
U+614C,慌,huāng,,,"nervous, panicky, frantic"
U+614E,慎,shèn,,,"act with care, be cautious"
U+6151,慑,shè,懾,,"afraid, scared, fearful"
U+6155,慕,mù,,,"long for, desire; admire"
U+6158,慘,cǎn,,惨,"sad, pitiful, wretched; cruel"
U+615A,慚,cán,,惭,"ashamed, humiliated; shameful"
U+615C,慜,mǐn,,,name of a monk in Tang dynasty
U+6162,慢,màn,,,"slow(ly), leisurely, sluggish"
U+6163,慣,guàn,,惯,"habit, custom; habitually, usually"
U+6167,慧,huì,,,"bright, intelligent; intelligence"
U+6168,慨,kǎi,,,"sigh, regret; generous"
U+616B,慫,sǒng,,怂,"to alarm; to instigate, arouse, incite"
U+616E,慮,lǜ,,虑,"be concerned, worry about"
U+6170,慰,wèi,,,"comfort, console, calm"
U+6175,慵,yōng,,,"indolent, easy-going, lazy"
U+6176,慶,qìng,,庆,"congratulate, celebrate"
U+6177,慷,kāng,,,"ardent; generous, magnanimous"
U+617E,慾,yù,,,"lust, desire, passion; appetite"
U+6182,憂,yōu,,忧,"sad, grieved; grief, melancholy"
U+618A,憊,bèi,,惫,"tired, weary, fatigued"
U+618B,憋,biē,,,to suppress inner feelings; hasty
U+618E,憎,zēng,,,"hate, detest, abhor; hatred"
U+6190,憐,lián,,怜,"pity, sympathize"
U+6191,憑,píng,,凭,"lean on, depend on, rely on"
U+6193,憓,huì,,,"benefit, favor; follow, obey"
U+6194,憔,qiáo,,,"be worn-out, emaciated, haggard"
U+619A,憚,dàn,,惮,"dread, shrink from, shirk, fear"
U+61A4,憤,fèn,,愤,"resent, hate; indignant"
U+61A7,憧,chōng,,,"irresolute, indecisive; yearn for"
U+61A8,憨,hān,,,"foolish, silly, coquettish"
U+61A9,憩,qì,,,"rest, take rest"
U+61AC,憬,jǐng,,,"rouse, awaken; become conscious"
U+61B2,憲,xiàn,,宪,"constitution, statute, law"
U+61B6,憶,yì,,忆,"remember, reflect upon; memory"
U+61B7,憷,chù,,,painful; suffering; privation
U+61BE,憾,hàn,,,"to regret, remorse; dissatisfied"
U+61C2,懂,dǒng,,,"understand, comprehend"
U+61C7,懇,kěn,,恳,"sincere, earnest, cordial"
U+61C8,懈,xiè,,,"idle, relaxed, remiss"
U+61C9,應,yīng,,应,"should, ought to, must"
U+61CA,懊,ào,,,"vexed, worried, nervous; regret"
U+61CB,懋,mào,,,"splendid, grand, majestic"
U+61D1,懑,mèn,懣,,"be sick at heart, sorrowful, sad"
U+61D2,懒,lǎn,懶,,"lazy, languid, listless"
U+61DF,懟,duì,,怼,"hate, abhor; hatred, resentment"
U+61E6,懦,nuò,,,"weak, timid, cowardly"
U+61F2,懲,chéng,,惩,"punish, reprimand; warn"
U+61F5,懵,měng,,,"stupid, ignorant, dull"
U+61F6,懶,lǎn,,懒,"lazy, languid, listless"
U+61F7,懷,huái,,怀,"bosom, breast; carry in bosom"
U+61F8,懸,xuán,,悬,"hang, suspend, hoist; be hung"
U+61FA,懺,chàn,,忏,"regret, repent; confess sins"
U+61FC,懼,jù,,惧,"fear, be afraid of, dread"
U+61FE,懾,shè,,慑,"afraid, scared, fearful"
U+61FF,懿,yì,,,"virtuous, admirable, esteemed"
U+6200,戀,liàn,,恋,"love; long for, yearn for; love"
U+6208,戈,gē,,,"halberd, spear, lance; rad. 62"
U+620A,戊,wù,,,5th heavenly stem
U+620C,戌,xū,,,eleventh earthly branch
U+620D,戍,shù,,,"defend borders, guard frontiers"
U+620E,戎,róng,,,"arms, armaments; military affair"
U+620F,戏,xì,"戏,戲",戏,"theatrical play, show"
U+6210,成,chéng,,,"completed, finished, fixed"
U+6211,我,wǒ,,,"our, us, i, me, my, we"
U+6212,戒,jiè,,,"warn, caution, admonish"
U+6216,或,huò,,,"or, either, else; perhaps, maybe"
U+6217,戗,qiāng,戧,,support
U+6218,战,zhàn,"战,戰",战,"war, fighting, battle"
U+621A,戚,qī,,,relative; be related to; sad
U+621B,戛,jiá,,,lance; tap or strike lightly
U+621F,戟,jǐ,,,halberd with crescent blade
U+622A,截,jié,,,"cut off, stop, obstruct, intersect"
U+622E,戮,lù,,,"kill, massacre; oppress"
U+6230,戰,zhàn,,"战,𢧐","war, fighting, battle"
U+6232,戲,xì,,戏,"theatrical play, show"
U+6233,戳,chuō,,,"prick, stab; stamp, seal, chop"
U+6234,戴,dài,,,wear on top; support
U+6236,戶,hù,,户,"door; family, household"
U+6237,户,hù,"戶,户",户,door; family
U+623F,房,fáng,,,"house, building; room; 4th lunar mansion, determinative star π Scorpii"
U+6240,所,suǒ,,,"place, location; numerary adjunct"
U+6241,扁,biǎn,,,"flat; tablet, signboard"
U+6247,扇,shàn,,,fan; door panel
U+6249,扉,fēi,,,door panel
U+624B,手,shǒu,,,hand
U+624C,扌,shǒu,,,hand; radical number 64
U+624D,才,cái,"才,纔",才,"talent, ability; just, only"
U+624E,扎,zhā,,,pull up; pierce; struggle free
U+6251,扑,pū,"扑,撲",扑,"pound, beat, strike; attack"
U+6252,扒,bā,,,scratch; dig up; crawl; crouch
U+6253,打,dǎ,,,"strike, hit, beat; fight; attack"
U+6254,扔,rēng,,,"throw, hurl; throw away, cast"
U+6258,托,tuō,,,"to hold up with palm; to support, rely on"
U+625B,扛,káng,,,carry on shoulders; lift
U+625E,扞,hàn,,,"ward off, withstand, resist"
U+6263,扣,kòu,,,"knock, strike, rap, tap; button"
U+6267,执,zhí,"執,执",执,hold in hand; keep; carry out
U+6269,扩,kuò,擴,,"expand, enlarge, stretch"
U+626A,扪,mén,捫,,"stoke, pat, feel by hand, grope"
U+626B,扫,sǎo,掃,,"sweep, clear away; exterminate"
U+626C,扬,yáng,揚,,"scatter, spread; praise"
U+626D,扭,niǔ,,,"turn, twist, wrench; seize, grasp"
U+626E,扮,bàn,,,dress up; dress up as
U+626F,扯,chě,,,"rip up, tear down; raise; haul"
U+6270,扰,rǎo,擾,,"disturb, annoy, agitate"
U+6273,扳,bān,,,pull; drag; right itself
U+6276,扶,fú,,,"support, help; protect; hold on"
U+6279,批,pī,,,"comment, criticize; wholesale"
U+627C,扼,è,,,"grasp, clutch; choke, strangle"
U+627E,找,zhǎo,,,"search, seek, look for; find"
U+627F,承,chéng,,,"inherit, receive; succeed"
U+6280,技,jì,,,"skill, ability, talent, ingenuity"
U+6284,抄,chāo,,,"copy, confiscate, seize"
U+6289,抉,jué,,,"choose, select; gouge, pluck out"
U+628A,把,bǎ,,,"hold, take; guard; regard as"
U+6291,抑,yì,,,"press down, repress; curb, hinder"
U+6292,抒,shū,,,express; eliminate; relieve
U+6293,抓,zhuā,,,"scratch; clutch, seize, grab"
U+6295,投,tóu,,,"throw, cast, fling, pitch; jump"
U+6296,抖,dǒu,,,"tremble, shake, rouse; give shake"
U+6297,抗,kàng,,,"resist, oppose, defy, reject"
U+6298,折,zhé,"折,摺",折,"break off, snap; bend"
U+629A,抚,fǔ,撫,,"pat, console, comfort; pacify"
U+629B,抛,pāo,"抛,拋",抛,throw (away)
U+62A0,抠,kōu,摳,,"raise, lift up; tight-fisted"
U+62A1,抡,lūn,掄,,"swing, brandish, flourish"
U+62A2,抢,qiǎng,搶,,"plunder, rob, take by force"
U+62A4,护,hù,護,,"protect, guard, defend, shelter"
U+62A5,报,bào,"報,报",报,"report, tell, announce"
U+62A8,抨,pēng,,,"impeach, censure; attack"
U+62AB,披,pī,,,wear; split; crack
U+62AC,抬,tái,,,"lift, carry"
U+62B1,抱,bào,,,"embrace, hold in arms, enfold"
U+62B5,抵,dǐ,,,"resist, oppose; deny; off-set"
U+62B9,抹,mǒ,,,"smear, apply, wipe off, erase"
U+62BC,押,yā,,,"mortgage, pledge; deposit; to pawn; to arrest, detain, guard"
U+62BD,抽,chōu,,,"draw out, pull out; sprout"
U+62C2,拂,fú,,,"shake off, brush away; dust"
U+62C4,拄,zhǔ,,,lean on; post; prod; ridicule
U+62C5,担,dān,"担,擔",担,"carry, bear, undertake"
U+62C6,拆,chāi,,,"to break up, split apart, rip open; to destroy"
U+62C7,拇,mǔ,,,thumb; big toe
U+62C8,拈,niān,,,pick up with fingers; draw lots
U+62C9,拉,lā,,,"pull, drag; seize, hold; lengthen"
U+62CB,拋,pāo,,抛,"throw (away), abandon, reject"
U+62CC,拌,bàn,,,mix
U+62CD,拍,pāi,,,"clap, tap, beat; beat or rhythm"
U+62CE,拎,līn,,,to haul; to lift; to take
U+62D0,拐,guǎi,,,"kidnap, abduct; turn"
U+62D2,拒,jù,,,"ward off with hand, defend"
U+62D3,拓,tà,,,expand; open up; support or push
U+62D4,拔,bá,,,"uproot, pull out"
U+62D6,拖,tuō,,,"drag, tow, haul; delay, prolong"
U+62D7,拗,ào,,,"to pull, drag, break off, to pluck (a flower); bent, warped; perverse, obstinate"
U+62D8,拘,jū,,,"restrain, seize, detain"
U+62D9,拙,zhuō,,,"stupid, clumsy, crude; convention"
U+62DA,拚,pàn,,,"risk, disregard; go all out for"
U+62DB,招,zhāo,,,"beckon, summon; recruit, levy"
U+62DC,拜,bài,,,"do obeisance, bow, kowtow"
U+62DF,拟,nǐ,擬,,"draft; intend, plan, propose"
U+62E2,拢,lǒng,攏,,"collect, bring together"
U+62E3,拣,jiǎn,揀,,choose; select; pick up; gather
U+62E5,拥,yōng,擁,,"embrace, hug, squeeze; crowd"
U+62E6,拦,lán,攔,,"obstruct, impede, bar, hinder"
U+62E7,拧,níng,擰,,"pinch; twist, wring; determined"
U+62E8,拨,bō,撥,,move; dispel; distribute
U+62E9,择,zé,擇,,"select, choose, pick out"
U+62EC,括,kuò,,,"include, embrace, enclose"
U+62ED,拭,shì,,,wipe away stains with cloth
U+62EE,拮,jié,,,"laboring hard, occupied; pursue"
U+62EF,拯,zhěng,,,"help, save, aid; lift, raise"
U+62F1,拱,gǒng,,,"fold hands on breast; bow, salute"
U+62F3,拳,quán,,,fist; various forms of boxing
U+62F4,拴,shuān,,,"bind with rope, fasten"
U+62F7,拷,kǎo,,,torture and interrogate; hit
U+62FC,拼,pīn,,,"join together, link, incorporate"
U+62FD,拽,zhuài,,,"drag, tow; throw; twist"
U+62FE,拾,shí,,,"pick up, collect, tidy up; accounting form of the numeral ten"
U+62FF,拿,ná,,,"take, hold, grasp; bring; with"
U+6301,持,chí,,,"sustain, support; hold, grasp"
U+6302,挂,guà,"挂,掛",挂,"hang, suspend; suspense"
U+6307,指,zhǐ,,,"finger, toe; point, indicate"
U+6309,按,àn,,,"put hand on, press down with hand"
U+630E,挎,kuà,,,carry
U+6311,挑,tiāo,,,a load carried on the shoulders; to carry
U+6316,挖,wā,,,"dig, dig out, gouge out, scoop"
U+631A,挚,zhì,摯,,"sincere, warm, cordial; surname"
U+631B,挛,luán,"挛,攣",挛,tangled; entwined; crooked
U+631D,挝,wō,撾,,to beat; to strike
U+631E,挞,tà,撻,,"flog, whip; chastise"
U+631F,挟,xié,"挟,挾",挟,clasp under arm; hold to bosom
U+6320,挠,náo,撓,,"scratch; disturb, bother; submit"
U+6321,挡,dǎng,"挡,擋",挡,"obstruct, impede; stop; resist"
U+6323,挣,zhēng,掙,,"strive, endeavor, struggle"
U+6324,挤,jǐ,擠,,"crowd, squeeze, push against"
U+6325,挥,huī,揮,,direct; wipe away; squander
U+6328,挨,āi,,,"near, close by, next to, towards, against; to wait; to lean on"
U+632A,挪,nuó,,,"move, shift on one side"
U+632B,挫,cuò,,,push down; chop down; grind
U+632F,振,zhèn,,,"raise, excite, arouse action"
U+6339,挹,yì,,,to bale out; to decant liquids
U+633A,挺,tǐng,,,"to stand upright, straighten; rigid"
U+633D,挽,wǎn,"挽,輓",挽,"pull; pull back, draw back"
U+633E,挾,xié,,挟,clasp under arm; hold to bosom
U+6342,捂,wǔ,,,resist
U+6345,捅,tǒng,,,jab
U+6346,捆,kǔn,,,"tie up; bind, truss up; bundle"
U+6349,捉,zhuō,,,"grasp, clutch; catch, seize"
U+634B,捋,lǚ,,,to pluck; to gather in the fingers; to rub; to scrape off
U+634D,捍,hàn,,,"ward off, guard against, defend"
U+634E,捎,shāo,,,to select; to take; to carry
U+634F,捏,niē,,,pick with fingers; knead; mold
U+6350,捐,juān,,,"contribute; give up, renounce"
U+6355,捕,bǔ,,,"arrest, catch, seize"
U+635E,捞,lāo,撈,,"scoop out of water; dredge, fish"
U+635F,损,sǔn,損,,diminish; impair; injure
U+6361,捡,jiǎn,撿,,to pick up
U+6362,换,huàn,換,,change
U+6363,捣,dǎo,搗,,"hull; thresh; beat, attack"
U+6367,捧,pěng,,,hold up in two hands
U+6368,捨,shě,,舍,"discard, give up willingly; give alms"
U+6369,捩,liè,,,"twist with hands; snap, tear"
U+636E,据,jù,"据,據",据,"to occupy, take possession of; a base, position"
U+6372,捲,juǎn,,卷,"curl, roll up; curly, rolled up"
U+6376,捶,chuí,,,"strike with stick, lash, beat"
U+6377,捷,jié,,,"win, victory, triumph"
U+637A,捺,nà,,,to press down heavily with the fingers
U+637B,捻,niǎn,,,to twist or nip with the fingers
U+6380,掀,xiān,,,"lift, raise; stir"
U+6383,掃,sǎo,,扫,"sweep, clear away; exterminate"
U+6384,掄,lūn,,抡,"swing, brandish, flourish"
U+6388,授,shòu,,,"give to, transmit; confer"
U+6389,掉,diào,,,"turn, move; shake, wag; drop down"
U+638C,掌,zhǎng,,,"palm of hand, sole of foot, paw"
U+638F,掏,tāo,,,take out; pull out; clean out
U+6390,掐,qiā,,,hold; gather with hand; choke
U+6392,排,pái,,,"row, rank, line"
U+6396,掖,yē,,,"support with the arms; stick in, tuck in; fold up"
U+6398,掘,jué,,,"dig, excavate; excavate cave"
U+6399,掙,zhēng,,挣,"to strive, endeavor, struggle; to earn; to pierce; to wedge in"
U+639B,掛,guà,,挂,"hang, suspend; suspense"
U+63A0,掠,lüè,,,"rob, ransack, plunder; pass by"
U+63A1,採,cǎi,,采,"gather, collect; pick, select"
U+63A2,探,tàn,,,"find, locate; search, grope for"
U+63A3,掣,chè,,,"drag, pull; hinder by pulling back"
U+63A5,接,jiē,,,receive; continue; catch; connect
U+63A7,控,kòng,,,"accuse, charge; control"
U+63A8,推,tuī,,,"push, expel; push forward"
U+63A9,掩,yǎn,,,"to cover (with the hand); shut, conceal; ambush"
U+63AA,措,cuò,,,"place; collect, arrange; employ"
U+63AC,掬,jū,,,to grasp or hold with both hands
U+63AE,掮,qián,,,to bear on the shoulders
U+63B0,掰,bāi,,,"(Cant.) to tear, to rip"
U+63B3,掳,lǔ,擄,,"capture, seize"
U+63B4,掴,guāi,摑,,"box one's ears, slap"
U+63B7,掷,zhì,"掷,擲",掷,"throw, hurl, cast, fling"
U+63B8,掸,dǎn,撣,,to dust; a duster
U+63BA,掺,chān,摻,,"mix, blend, adulterate"
U+63BC,掼,guàn,摜,,"throw ground; know, be familiar"
U+63C0,揀,jiǎn,,拣,choose; select; pick up; gather
U+63C9,揉,róu,,,"rub, massage; crush by hand"
U+63CD,揍,zòu,,,"hit, beat; smash, break"
U+63CF,描,miáo,,,"copy, trace, sketch; depict"
U+63D0,提,tí,,,hold in hand; lift in hand
U+63D2,插,chā,,,"insert, stick into; plant"
U+63D6,揖,yī,,,"salute, bow; defer to, yield"
U+63DA,揚,yáng,,扬,"scatter, spread; praise"
U+63DB,換,huàn,,换,"change, exchange; substitute"
U+63E1,握,wò,,,"grasp, hold fast, take by hand"
U+63E3,揣,chuāi,,,put things under clothes
U+63EA,揪,jiū,,,"grasp with hand, pinch"
U+63ED,揭,jiē,,,"raise, lift up; surname"
U+63EE,揮,huī,,挥,direct; wipe away; squander
U+63F2,揲,dié,,,to sort out the stalks used in divination; to fold
U+63F4,援,yuán,,,"aid, assist; lead; cite"
U+63F9,揹,bēi,,,carry things on one's back
U+63FA,揺,yáo,,,"wag, swing, wave; shake; scull"
U+63FD,揽,lǎn,攬,,"grasp, take hold of; monopolize"
U+63FE,揾,wèn,"揾,搵",揾,wipe off; press down with knuckle
U+6400,搀,chān,攙,,give helping hand
U+6401,搁,gē,擱,,"place, put, lay down; delay"
U+6405,搅,jiǎo,攪,,"disturb, agitate, stir up"
U+640D,損,sǔn,,损,diminish; impair; injure; hexagram ䷨
U+640F,搏,bó,,,seize; spring upon; strike
U+6413,搓,cuō,,,to rub or roll between the hands
U+6416,搖,yáo,,摇,"wag, swing, wave; shake; scull"
U+6417,搗,dǎo,,捣,"hull; thresh; beat, attack"
U+641C,搜,sōu,,,"search, seek; investigate"
U+641E,搞,gǎo,,,"to clear, clarify"
U+642A,搪,táng,,,"ward off, evade; parry; block"
U+642C,搬,bān,,,"transfer, move, remove, shift"
U+642D,搭,dā,,,"join together, attach to; add to"
U+6436,搶,qiǎng,,抢,"plunder, rob, take by force"
U+643A,携,xié,"携,攜",携,"lead by hand, take with; carry"
U+6444,摄,shè,攝,,"take in, absorb; act as deputy"
U+6446,摆,bǎi,"摆,擺,襬",摆,"put, place; display; swing, sway"
U+6447,摇,yáo,搖,,"wag, swing, wave; shake; scull"
U+6448,摈,bìn,"摈,擯",摈,"exclude, expel, reject; usher"
U+644A,摊,tān,"摊,攤",摊,"spread out, open; apportion"
U+6452,摒,bìng,,,"expel, cast off; arrange"
U+6454,摔,shuāi,,,"fall to the ground; stumble, trip"
U+6458,摘,zhāi,,,"pluck, pick; select; specify"
U+6467,摧,cuī,,,"destroy, break, injure"
U+6469,摩,mó,,,"rub, scour, grind; friction"
U+646F,摯,zhì,,挚,"sincere, warm, cordial; surname"
U+6478,摸,mō,,,gently touch with hand; caress
U+6479,摹,mó,,,"trace, copy, duplicate; pattern"
U+647A,摺,zhé,摺,"折,摺","fold, bend; twisted, curved"
U+647B,摻,càn,,掺,"a delicate hand; mix, blend, adulterate"
U+6482,撂,liào,,,"put down, put aside; drop"
U+6485,撅,juē,,,"protrude; snap, break; dig"
U+6486,撆,piē,,,"to skim off, cast away"
U+6487,撇,piē,,,"discard, abandon, throw away"
U+6488,撈,lāo,,捞,"scoop out of water; dredge, fish"
U+6490,撐,chēng,,撑,"prop up, support; brace; to push off (with a pole)"
U+6491,撑,chēng,"撐,撑",撑,"prop up, support; brace"
U+6492,撒,sā,,,"release, cast away, let go; disperse; relax"
U+6493,撓,náo,,挠,"scratch; disturb, bother; submit"
U+6495,撕,sī,,,"rip, tear; buy cloth"
U+649E,撞,zhuàng,,,"knock against, bump into, collide"
U+64A3,撣,dǎn,,掸,to dust; a duster
U+64A4,撤,chè,,,omit; remove; withdraw
U+64A5,撥,bō,,拨,"move; dispel; distribute; plectrum, play stringed instrument"
U+64AB,撫,fǔ,,抚,"pat, console, comfort; pacify"
U+64AC,撬,qiào,,,"lift, raise; pry open"
U+64AD,播,bō,,,"sow, spread; broadcast; cast away, reject"
U+64AE,撮,cuō,,,"little bit, small amount, pinch"
U+64B0,撰,zhuàn,,,"compose, write, compile"
U+64B2,撲,pū,,扑,"pound, beat, strike; attack"
U+64B5,撵,niǎn,攆,,"drive away, expel, oust"
